is_retweet,retweet_retweet_count,retweet_screen_name,retweet_text,text
0,,,,@MartinGarciaIZ @lahistoriaec @radio_pichincha Si marketing es una boda sin impacto alguno...
1,152,kkioko010,"LETS CHANGE BODA BODA SECTOR
REQUIREMENTS
1. Licence
2. good conduct
3. insuarance cover 
4. sacco
5. name tags with ID number and photo displayed
6. wear reflector with sacco name
add your ideas to bring sanity in this sector.
Charles Keter Nairobi CBD Jayden Forest Road","RT @kkioko010: LETS CHANGE BODA BODA SECTOR
REQUIREMENTS
1. Licence
2. good conduct
3. insuarance cover 
4. sacco
5. name tags with ID numb…"
1,10,DailyMonitor,"Boda boda: How Rwanda got it right https://t.co/NcArbJuy8j
#MonitorUpdates","RT @DailyMonitor: Boda boda: How Rwanda got it right https://t.co/NcArbJuy8j
#MonitorUpdates"
1,248,Kedrick1275,@manueelviana @anitalyyy O que se haga otro hilo de cómo se casaron en una boda que no era la suya,RT @Kedrick1275: @manueelviana @anitalyyy O que se haga otro hilo de cómo se casaron en una boda que no era la suya
0,,,,"Hauwezi elewa, Hauwezi...Boda Boda ni Wezi sana and very Ruthless https://t.co/SYeUyQY8R6"
0,,,,This gang mentality is the problem. It's unfortunate the way some boda guys feel untouchable https://t.co/sDVtXoZx16
0,,,,"Motorists parking to loot. No wonder your leaders looted KEMSA and you're OK with it.

Boda Boda Janet Charles Keter Assimio Maralal Matatu Kibaki https://t.co/Wj8sUviUBL"
1,24,CisNyakundi,"All Bodas should be in a Sacco just like Matatus. What prevents them? They make thousands...And if one Boda misbehaves, the Sacco is answerable","RT @CisNyakundi: All Bodas should be in a Sacco just like Matatus. What prevents them? They make thousands...And if one Boda misbehaves, th…"
1,1,MenEngageKenya,@StateHouseKenya @FirstLadyRwanda @CSMargaretKobia We laud the President's directive to ensure safety of women &amp; men in public transport and specifically boda boda sector. This is a demonstration of his commitment to #BreakTheBias by leading male champions in Kenya. We urge him increase investment on engaging men to end GBV. https://t.co/P8Yea1FLkL,RT @MenEngageKenya: @StateHouseKenya @FirstLadyRwanda @CSMargaretKobia We laud the President's directive to ensure safety of women &amp; men in…
1,12,desmovd,"WEB DESIGN, SOFTWARE  &amp; MOBILE APP DEVELOPMENT TRAINING 

Become a world class full stack developer NOW!

INTAKE Ongoing

4months of 100% Practical Training.

SEE THE COURSE DETAILS HERE:
https://t.co/CeVxachNmD

Nduthi Boda Boda Eric Omondi Kroos Bahati https://t.co/zxP3rH19Xd","RT @desmovd: WEB DESIGN, SOFTWARE  &amp; MOBILE APP DEVELOPMENT TRAINING 

Become a world class full stack developer NOW!

INTAKE Ongoing

4mon…"
1,4,SenatorRuto,"If you own a boda boda please keep it at home for some days. Police are out there arresting all the Motor cycles be it private or not, otherwise you will be forced to pay more than 5k to clear with them. Meanwhile justice should be our  shield and defender.",RT @SenatorRuto: If you own a boda boda please keep it at home for some days. Police are out there arresting all the Motor cycles be it pri…
